Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stock Symbol
2022-02-18 00:00:00-05:00,2000,2300,1520,2296,3295,0,0,ONCO
2022-02-22 00:00:00-05:00,2700,3636,2004,2278.800049,2683,0,0,ONCO
2022-02-23 00:00:00-05:00,1895.599976,2072,1302,1992,1478,0,0,ONCO
2022-02-24 00:00:00-05:00,1600.800049,1780,1459.199951,1712.199951,1080,0,0,ONCO
2022-02-25 00:00:00-05:00,1559.599976,1779.599976,1504.47998,1774,903,0,0,ONCO
2022-02-28 00:00:00-05:00,1897.599976,2131.199951,1792.400024,1984,1063,0,0,ONCO
2022-03-01 00:00:00-05:00,2122.399902,2264.800049,2000,2264.800049,610,0,0,ONCO
2022-03-02 00:00:00-05:00,2268.800049,2612,2143.199951,2455.199951,565,0,0,ONCO
2022-03-03 00:00:00-05:00,2484.800049,2604,2361.199951,2520,548,0,0,ONCO
2022-03-04 00:00:00-05:00,2540,2540,2400,2460,245,0,0,ONCO
2022-03-07 00:00:00-05:00,2287.600098,2480,1904.400024,2460,385,0,0,ONCO
2022-03-08 00:00:00-05:00,2386,2435.600098,2386,2435.600098,55,0,0,ONCO
2022-03-09 00:00:00-05:00,2440,2580,2296,2444,73,0,0,ONCO
2022-03-10 00:00:00-05:00,2396,2600,2396,2600,218,0,0,ONCO
2022-03-11 00:00:00-05:00,2548,2548,2380,2484.399902,270,0,0,ONCO
2022-03-14 00:00:00-04:00,2418.399902,2520,2313.600098,2474,293,0,0,ONCO
2022-03-15 00:00:00-04:00,2260.399902,2716,2240,2716,313,0,0,ONCO
2022-03-16 00:00:00-04:00,2679.199951,2779.199951,919.5999756,1680,11105,0,0,ONCO
2022-03-17 00:00:00-04:00,1467.599976,1652.400024,1420,1632.400024,1905,0,0,ONCO
2022-03-18 00:00:00-04:00,1563.599976,1755.199951,1402,1596,1880,0,0,ONCO
2022-03-21 00:00:00-04:00,1564.400024,1679.599976,1520.400024,1679.599976,535,0,0,ONCO
2022-03-22 00:00:00-04:00,1574,1858.800049,1520,1858.800049,643,0,0,ONCO
2022-03-23 00:00:00-04:00,1818,2080,1790.400024,2056.399902,320,0,0,ONCO
2022-03-24 00:00:00-04:00,1976,2079.600098,1774.400024,2065.199951,963,0,0,ONCO
2022-03-25 00:00:00-04:00,2040,2133.600098,1704.400024,2044.400024,1550,0,0,ONCO
2022-03-28 00:00:00-04:00,1808.800049,2030,1808.800049,1959.599976,710,0,0,ONCO
2022-03-29 00:00:00-04:00,1880.400024,2079.600098,1880.400024,2076,408,0,0,ONCO
